Rnd,Pick,Tm,Player,Pos,Age
1,1,ATL,Michael Vick,QB,21
1,2,ARI,Leonard Davis,T,23
1,3,CLE,Gerard Warren,DT,23
1,4,CIN,Justin Smith,DE,21
1,5,SDG,LaDainian Tomlinson HOF,RB,22
1,6,NWE,Richard Seymour HOF,DE,21
1,7,SFO,Andre Carter,DE,22
1,8,CHI,David Terrell,WR,22
1,9,SEA,Koren Robinson,WR,21
1,10,GNB,Jamal Reynolds,DE,22
1,11,CAR,Dan Morgan,LB,22
1,12,STL,Damione Lewis,DT,23
1,13,JAX,Marcus Stroud,DT,23
1,14,TAM,Kenyatta Walker,T,22
1,15,WAS,Rod Gardner,WR,23
1,16,NYJ,Santana Moss,WR,22
1,17,SEA,Steve Hutchinson HOF,G,23
1,18,DET,Jeff Backus,T,23
1,19,PIT,Casey Hampton,NT,24
1,20,STL,Adam Archuleta,DB,23
1,21,BUF,Nate Clements,DB,21
1,22,NYG,Will Allen,DB,23
1,23,NOR,Deuce McAllister,RB,22
1,24,DEN,Willie Middlebrooks,DB,22
1,25,PHI,Freddie Mitchell,WR,22
1,26,MIA,Jamar Fletcher,DB,22
1,27,MIN,Michael Bennett,RB,23
1,28,OAK,Derrick Gibson,DB,22
1,29,STL,Ryan Pickett,DT,21
1,30,IND,Reggie Wayne,WR,22
1,31,BAL,Todd Heap,TE,21
2,32,SDG,Drew Brees,QB,22
2,33,CLE,Quincy Morgan,WR,23
2,34,ARI,Kyle Vanden Bosch,DE,22
2,35,ATL,Alge Crumpler,TE,23
2,36,CIN,Chad Johnson,WR,23
2,37,IND,Idrees Bashir,DB,22
2,38,CHI,Anthony Thomas,RB,23
2,39,PIT,Kendrell Bell,LB,23
2,40,SEA,Ken Lucas,DB,22
2,41,GNB,Robert Ferguson,WR,21
2,42,STL,Tommy Polley,LB,23
2,43,JAX,Maurice Williams,T,22
2,44,CAR,Kris Jenkins,DT,22
2,45,WAS,Fred Smoot,DB,22
2,46,BUF,Aaron Schobel,DE,24
2,47,SFO,Jamie Winborn,LB,22
2,48,NWE,Matt Light,T,23
2,49,NYJ,LaMont Jordan,RB,22
2,50,DET,Dominic Raiola,C,22
2,51,DEN,Paul Toviessi,DE,
2,52,MIA,Chris Chambers,WR,23
2,53,DAL,Quincy Carter,QB,23
2,54,ARI,Michael Stone,DB,23
2,55,PHI,Quinton Caver,LB,23
2,56,DAL,Tony Dixon,DB,22
2,57,MIN,Willie Howard,DE,23
2,58,BUF,Travis Henry,RB,22
2,59,OAK,Marques Tuiasosopo,QB,22
2,60,TEN,Andre Dyson,DB,22
2,61,DET,Shaun Rogers,DT,22
2,62,BAL,Gary Baxter,DB,22
3,63,PHI,Derrick Burgess,DE,23
3,64,ARI,Adrian Wilson,DB,21
3,65,CLE,James Jackson,RB,25
3,66,CIN,Sean Brewer,TE,23
3,67,SDG,Tay Cody,DB,23
3,68,CHI,Mike Gandy,T,22
3,69,MIN,Eric Kelly,DB,24
3,70,NOR,Sedrick Hodge,LB,22
3,71,GNB,Bhawoh Jue,DB,22
3,72,GNB,Torrance Marshall,LB,24
3,73,JAX,Eric Westmoreland,LB,24
3,74,CAR,Steve Smith Sr.,WR,22
3,75,KAN,Eric Downing,DT,22
3,76,BUF,Ron Edwards,DT,22
3,77,KAN,Snoop Minnis,WR,24
3,78,NYG,Will Peterson,DB,22
3,79,NYJ,Kareem McKenzie,T,22
3,80,SFO,Kevan Barlow,RB,22
3,81,NOR,Kenny Smith,DT,23
3,82,SEA,Heath Evans,FB,22
3,83,STL,Brian Allen,LB,23
3,84,TAM,Dwight Smith,DB,23
3,85,MIA,Travis Minor,RB,22
3,86,NWE,Brock Williams,DB,22
3,87,DEN,Reggie Hayward,DE,22
3,88,MIA,Morlon Greenwood,LB,23
3,89,OAK,DeLawrence Grant,DE,21
3,90,TEN,Shad Meier,TE,23
3,91,IND,Cory Bird,DB,23
3,92,BAL,Casey Rabach,C,23
3,93,DAL,Willie Blade,DT,22
3,94,JAX,James Boyd,DB,23
3,95,BUF,Jonas Jennings,T,23
4,96,NWE,Kenyatta Jones,T,22
4,97,CLE,Anthony Henry,DB,24
4,98,ARI,Bill Gramatica,K,23
4,99,ATL,Roberto Garza,G,22
4,100,CIN,Rudi Johnson,RB,21
4,101,NYJ,Jamie Henderson,DB,22
4,102,ATL,Matt Stewart,LB,22
4,103,CHI,Karon Riley,LB,23
4,104,SEA,Orlando Huff,LB,23
4,105,GNB,Bill Ferrario,G,22
4,106,CAR,Chris Weinke,QB,29
4,107,KAN,Monty Beisel,LB,23
4,108,KAN,George Layne,RB,22
4,109,WAS,Sage Rosenfels,QB,23
4,110,BUF,Brandon Spoon,LB,23
4,111,PIT,Mathias Nkwenti,T,23
4,112,SDG,Carlos Polk,LB,24
4,113,DEN,Ben Hamilton,G,24
4,114,NYG,Cedric Scott,DE,23
4,115,NOR,Moran Norris,FB,23
4,116,STL,Milton Wynn,WR,22
4,117,TAM,John Howell,DB,23
4,118,IND,Ryan Diem,T,22
4,119,NWE,Jabari Holloway,TE,22
4,120,DEN,Nick Harris,P,23
4,121,PHI,Correll Buckhalter,RB,22
4,122,DAL,Markus Steele,LB,22
4,123,ARI,Marcus Bell,DT,22
4,124,TEN,Justin McCareins,WR,22
4,125,NYG,Jesse Palmer,QB,22
4,126,BAL,Ed Hartwell,LB,23
4,127,SEA,Curtis Fuller,DB,23
4,128,SEA,Floyd Womack,T,22
4,129,STL,Brandon Manumaleuna,TE,21
4,130,MIN,Shawn Worthen,DT,25
4,131,MIN,Cedric James,WR,22
