draft_year,avg_brg_double,avg_brg_single,avg_brg_zero,med_brg_double,med_brg_single,med_brg_zero,overshoot_rate_double,overshoot_rate_single,overshoot_rate_zero,n_double,n_single,n_zero
2001,17.333333333333332,8.583333333333334,-2.1875,16.0,11.0,-4.0,1.0,0.6666666666666666,0.375,3.0,12.0,16.0
2002,27.0,8.6,-3.4,27.0,10.0,-5.0,1.0,0.7333333333333333,0.26666666666666666,1.0,15.0,15.0
2003,14.333333333333334,9.125,4.476190476190476,17.0,10.5,4.0,1.0,0.875,0.5714285714285714,3.0,8.0,21.0
2004,8.5,8.545454545454545,0.47058823529411764,7.5,9.0,0.0,0.75,0.9090909090909091,0.47058823529411764,4.0,11.0,17.0
2005,12.333333333333334,8.272727272727273,1.3888888888888888,6.0,5.0,3.5,1.0,0.7272727272727273,0.5555555555555556,3.0,11.0,18.0
2006,18.0,10.0,-3.5,18.0,13.0,-3.5,1.0,0.7857142857142857,0.3125,2.0,14.0,16.0
2007,4.0,7.384615384615385,2.9444444444444446,4.0,9.0,3.5,1.0,0.7692307692307693,0.5555555555555556,1.0,13.0,18.0
2008,20.0,8.461538461538462,1.2777777777777777,20.0,8.0,-0.5,1.0,0.7692307692307693,0.5,1.0,13.0,18.0
2009,10.5,5.7,3.0,11.0,4.0,4.5,1.0,0.7,0.5555555555555556,4.0,10.0,18.0
2010,5.0,9.0,-0.75,3.0,12.0,-0.5,1.0,0.7692307692307693,0.4375,3.0,13.0,16.0
2011,16.0,10.1,4.428571428571429,16.0,9.5,5.0,1.0,0.8,0.6190476190476191,1.0,10.0,21.0
2012,0.0,7.636363636363637,5.3,0.0,8.0,5.5,0.0,0.7272727272727273,0.65,1.0,11.0,20.0
2013,6.0,6.923076923076923,-0.6,6.0,9.0,1.0,1.0,0.6923076923076923,0.5333333333333333,4.0,13.0,15.0
2014,12.0,12.0,2.3,12.0,10.0,2.5,1.0,0.9090909090909091,0.55,1.0,11.0,20.0
2015,22.0,10.23076923076923,-0.1111111111111111,22.0,8.0,-0.5,1.0,0.7692307692307693,0.4444444444444444,1.0,13.0,18.0
2016,15.0,6.357142857142857,-1.9333333333333333,20.0,9.5,-1.0,1.0,0.7857142857142857,0.4,3.0,14.0,15.0
2017,3.5,1.7142857142857142,1.75,3.0,0.0,4.0,1.0,0.5,0.5833333333333334,6.0,14.0,12.0
2018,3.5,9.0,-0.8125,3.5,6.0,-0.5,1.0,0.8571428571428571,0.5,2.0,14.0,16.0
2019,4.0,8.923076923076923,-1.8,2.5,10.0,-3.0,0.5,0.9230769230769231,0.4,4.0,13.0,15.0
2020,,6.117647058823529,0.06666666666666667,,5.0,0.0,,0.7058823529411765,0.4666666666666667,,17.0,15.0
2021,,7.8125,-0.3125,,9.5,-0.5,,0.8125,0.4375,,16.0,16.0
2022,9.5,11.0,1.631578947368421,9.5,10.0,3.0,1.0,0.9090909090909091,0.5789473684210527,2.0,11.0,19.0
2023,11.0,7.333333333333333,3.210526315789474,14.0,8.0,5.0,0.75,0.8888888888888888,0.631578947368421,4.0,9.0,19.0
2024,8.666666666666666,6.9,4.0,10.0,4.0,4.0,0.6666666666666666,0.7,0.631578947368421,3.0,10.0,19.0
2025,,,15.5,,,15.5,,,0.96875,,,32.0
