full_name,position,career_length,position_group
Abdul-Karim al-Jabbar,RB,1,RB
Rabih Abdullah,RB,5,RB
Rahim Abdullah,LB,1,LB
Donnie Abraham,DB,5,DB
Kevin Abrams,DB,1,DB
Tom Ackerman,OL,4,OL
Flozell Adams,OL,11,OL
Sam Adams,DL,8,DL
Ray Agnew,DL,1,DL
Louie Aguiar,SPEC,1,SP
Chidi Ahanotu,DL,5,DL
Troy Aikman,QB,1,QB
David Akers,SPEC,14,SP
Chris Akins,DB,4,DB
Ethan Albright,OL,11,OL
Allen Aldridge,LB,2,LB
Brent Alexander,DB,6,DB
Derrick Alexander,WR,3,WR
Derrick L. Alexander,DL,1,DL
Elijah Alexander,LB,2,LB
Stephen Alexander,TE,8,TE
Eric Allen,DB,2,DB
James Allen,RB,6,RB
Larry Allen,OL,8,OL
Taje Allen,DB,3,DB
Terry Allen,RB,2,RB
Victor Allotey,OL,3,OL
John Allred,TE,2,TE
Mike Alstott,RB,7,RB
Ashley Ambrose,DB,5,DB
Kimble Anders,RB,1,RB
Jason Andersen,OL,2,OL
Morten Andersen,SPEC,7,SP
Gary Anderson,SPEC,5,SP
Jamal Anderson,RB,2,RB
Richie Anderson,RB,5,RB
Willie Anderson,OL,9,OL
Joe Andruzzi,OL,7,OL
Reidel Anthony,WR,2,WR
Lester Archambeau,DL,1,DL
JoJuan Armour,LB,3,LB
Phil Armour,OL,1,OL
Jessie Armstead,LB,4,LB
Bruce Armstrong,OL,1,OL
Trace Armstrong,DL,4,DL
Darryl Ashmore,OL,2,OL
James Atkins,OL,4,OL
Larry Atkins,DB,4,DB
Billy Austin,DB,1,DB
Darnell Autry,RB,1,RB
Obafemi Ayanbadejo,RB,6,RB
Jerry Azumah,DB,6,DB
Brad Badger,OL,8,OL
Champ Bailey,DB,14,DB
Karsten Bailey,WR,3,WR
Robert Bailey,DB,2,DB
Eugene Baker,WR,3,WR
Antonio Banks,DB,1,DB
Chris Banks,OL,2,OL
Tony Banks,QB,6,QB
Michael Bankston,DL,1,DL
Brad Banta,TE,2,TE
Ronde Barber,DB,13,DB
Shawn Barber,LB,8,LB
Tiki Barber,RB,7,RB
Bryan Barker,SPEC,6,SP
Roy Barker,DL,1,DL
Reggie Barlow,WR,4,WR
Tom Barndt,DL,2,DL
Lionel Barnes,DL,4,DL
Marlon Barnes,RB,1,RB
Tommy Barnhardt,SPEC,1,SP
Micheal Barrow,LB,2,LB
Brent Bartholomew,SPEC,1,SP
Eric Barton,LB,11,LB
Mike Bartrum,TE,7,TE
Michael Basnight,RB,1,RB
Charlie Batch,QB,11,QB
D'Wayne Bates,WR,4,WR
Mario Bates,RB,1,RB
Michael Bates,RB,3,RB
Marco Battaglia,TE,4,TE
Fred Baxter,TE,5,TE
Aaron Beasley,DB,6,DB
Fred Beasley,RB,6,RB
Frank Beede,OL,1,OL
Geno Bell,DL,1,DL
Myron Bell,DB,2,DB
Jay Bellamy,DB,8,DB
Jason Belser,DB,3,DB
Brandon Bennett,RB,5,RB
