team,draft_year,k,ewii_k,snap_share_k,dci_k,grp
PIT,2013,1,-0.1568424714929697,0.0,-0.0,zero
SEA,2013,1,0.016260520871780326,0.0,0.0,zero
CHI,2013,1,-0.456758402495715,0.0,-0.0,zero
DEN,2013,1,-0.31633732821215693,0.01023219205037387,-0.0032368242949689418,single
ARI,2013,1,0.01709443335930004,0.0357913237996325,0.0006118323995339472,single
GB,2013,1,-0.4321333551903257,0.0,-0.0,zero
SF,2013,1,0.018018505502678212,0.0,0.0,single
NYJ,2013,1,-0.1823215567939546,0.010371032632990612,-0.0018908628152077543,single
HOU,2013,1,-0.05826890812397588,0.08198307134220073,-0.004777064051760054,single
CIN,2013,1,0.15963014559188393,0.0020507367461643626,0.0003273594053608435,zero
CLE,2013,1,0.12861737782209373,0.0,0.0,double
CAR,2013,1,0.09531017980432493,0.0,0.0,zero
MIN,2013,1,-0.2076393647782445,0.08629526930510041,-0.01791829490187859,single
BUF,2013,1,0.24419696051204215,0.0,0.0,zero
BAL,2013,1,0.10318423623523061,0.05036398752042787,0.005196769586056036,single
DET,2013,1,0.04348511193973889,0.08812417871222077,0.003832089775898475,single
WAS,2013,1,-0.22884157242884767,0.07949754040758959,-0.018192342151098658,double
MIA,2013,1,0.19004360288786487,0.036830357142857144,0.00699937376707538,single
TEN,2013,1,0.04652001563489291,0.053305752247593284,0.0024797844279877673,single
IND,2013,1,0.0,0.0,0.0,zero
JAX,2013,1,-0.19237189264745613,0.1489637305699482,-0.02865643478556665,double
ATL,2013,1,-0.13720112151348515,0.1421136573491144,-0.01949815317068164,double
NYG,2013,1,0.4054651081081644,0.0,0.0,zero
PHI,2013,1,0.1267517056391438,0.0,0.0,zero
NE,2013,1,0.287682072451781,0.0,0.0,single
DAL,2013,1,-0.12136085700426735,0.08660924040720439,-0.010510971640306946,zero
TB,2013,1,0.3953127366441464,0.0,0.0,single
KC,2013,1,0.3629054936893685,0.0,0.0,zero
NO,2013,1,0.5549968420791281,0.0,0.0,single
SEA,2014,1,-0.03278982282299084,0.0,-0.0,zero
CIN,2014,1,-0.15963014559188382,0.014670118459245313,-0.0023417931454995117,single
BUF,2014,1,0.032789822822990755,0.0,0.0,zero
ARI,2014,1,-0.3639653772014116,0.086793893129771,-0.03158997205175611,single
CLE,2014,1,-0.03509131981127017,0.004342916702857639,-0.0001523986789336844,single
NYG,2014,1,-0.3541718137206139,0.0,-0.0,zero
SF,2014,1,0.017699577099401075,0.0,0.0,single
CAR,2014,1,-0.07550755250814517,0.0,-0.0,zero
NO,2014,1,-0.3780661339200499,0.0,-0.0,single
PIT,2014,1,-0.38677297509601205,0.0,-0.0,zero
MIA,2014,1,0.01904819497069441,0.0,0.0,zero
BAL,2014,1,-0.08167803101426713,0.005596211795092553,-0.00045708756056197705,single
HOU,2014,1,0.1484200051182734,0.0,0.0,zero
TB,2014,1,-0.2282586519809802,0.0,-0.0,zero
NE,2014,1,0.02061928720273561,0.0,0.0,zero
DET,2014,1,0.1388364448542159,0.0,0.0,zero
KC,2014,1,0.24889604741662438,0.0,0.0,single
NYJ,2014,1,-0.02247285585205863,0.0657826313052522,-0.0014783235908920522,double
TEN,2014,1,0.044451762570833796,0.0,0.0,zero
DEN,2014,1,0.34967374847974875,0.054126547455295736,0.018926632740960264,single
PHI,2014,1,-0.10008345855698265,0.0,-0.0,zero
IND,2014,1,0.19845093872383823,0.0,0.0,zero
MIN,2014,1,0.20763936477824455,0.0,0.0,zero
CHI,2014,1,-0.17185025692665928,0.09003612016562418,-0.015472730383142085,single
GB,2014,1,0.39641527258824644,0.0,0.0,single
WAS,2014,1,-0.05884050002293335,0.0,-0.0,zero
ATL,2014,1,-0.09237332013101504,0.0014747982996443133,-0.0001362320154617208,single
JAX,2014,1,0.058840500022933395,0.0,0.0,zero
DAL,2014,1,0.3272129112084162,0.0,0.0,zero
BUF,2015,1,-0.27698678333503296,0.06971215080241148,-0.019309344410126696,single
DEN,2015,1,-0.033336420267591836,0.0,-0.0,zero
SEA,2015,1,-0.05129329438755046,0.0,-0.0,zero
KC,2015,1,0.049596941139372186,0.0,0.0,single
HOU,2015,1,0.0,0.022763074984247008,0.0,single
SF,2015,1,-0.5773153650348236,0.0,-0.0,single
CLE,2015,1,-0.528844129268669,0.0,-0.0,zero
GB,2015,1,0.018018505502678212,0.0,0.0,double
DET,2015,1,-0.4336359850748609,0.0,-0.0,single
MIA,2015,1,-0.33270575382573614,0.0,-0.0,zero
CIN,2015,1,0.14310084364067324,0.0,0.0,zero
CAR,2015,1,0.17904823144898563,0.0,0.0,zero
