draft_year,alpha,beta,n_drafters,R2,RMSE
2001,16.65224116595628,-0.03557679087034236,15,0.0013637769833632074,9.938119533331658
2002,14.396862745098035,0.08784313725490195,16,0.008304498269896321,9.16075745362702
2003,23.234801762114543,-0.40704845814977986,11,0.1409691629955948,6.80453981651496
2004,5.341950515921446,0.5841562187950737,15,0.3661407728519125,7.389818017983403
2005,17.18418221718613,0.01897617579139092,14,0.0004216927953643035,9.04125879530112
2006,15.661607142857147,0.09427655677655693,16,0.010183015513897886,9.478936859279539
2007,12.171645853610261,0.15900955146076287,14,0.02574440356983765,8.926001262322668
2008,19.96735699613313,-0.2065659487058039,14,0.039790122838260444,10.174228884397072
2009,9.892766088949555,0.41912389585640303,14,0.12374134068141429,9.405765377418762
2010,13.143232323232324,0.2004040404040405,16,0.031942959001782456,10.020660523420467
2011,15.47010640094578,0.09196081742948821,11,0.009196081742948836,10.439752439989926
2012,6.976795145521971,0.48320035959096513,12,0.25572449799891084,7.4145057174548965
2013,11.346604938271604,0.23261316872428003,17,0.04951989026063097,8.89803310520305
2014,19.02796099799254,-0.08259248637797507,12,0.00752979932790665,9.246935655452877
2015,18.520621000237043,-0.10880266924353263,14,0.011030685361095305,10.325469955449776
2016,13.633312133566958,0.1698038109036995,17,0.03286525372329674,9.93732872491474
2017,11.403438963901898,0.282083218517498,20,0.06577144431760007,8.657760533190627
2018,11.40767782346386,0.33262882834415736,16,0.13231779127513887,9.180911112060608
2019,12.174295860587709,0.2878490188421365,17,0.06961054704025504,9.432311033849318
2020,10.361934322468217,0.4721677685526858,17,0.19091029451961183,8.50277731069866
2021,7.5913733097506695,0.5154713679846332,16,0.24568816515023884,7.989464544855848
2022,3.5699310302734366,0.7276662190755204,13,0.5494253976004464,7.053475355379335
2023,15.588805683563749,-0.1027585765488992,13,0.00990234803598844,8.769411884255977
2024,16.289781250000008,0.014692708333333568,13,0.0002187500000000453,10.506844215600442
