draft_year,avg_index_A_double,avg_index_A_single,med_index_A_double,med_index_A_single,avg_abs_index_A_double,avg_abs_index_A_single,med_abs_index_A_double,med_abs_index_A_single,n_double,n_single
2001,10.857142857142856,0.2023809523809524,6.428571428571429,4.5,10.857142857142856,12.202380952380954,6.428571428571429,10.214285714285715,3.0,12.0
2002,25.133333333333333,0.7244444444444443,25.133333333333333,1.6000000000000014,25.133333333333333,8.813333333333334,25.133333333333333,7.0,1.0,15.0
2003,6.033333333333334,-2.2,9.8,-0.20000000000000107,10.5,8.275,9.8,8.15,3.0,8.0
2004,3.25,0.9090909090909091,-0.5,0.0,6.25,4.7272727272727275,3.0,2.0,4.0,11.0
2005,6.82051282051282,-2.9510489510489517,-1.3076923076923084,-3.9230769230769234,9.17948717948718,9.622377622377622,2.23076923076923,8.615384615384615,3.0,11.0
2006,15.066666666666666,0.1333333333333339,15.066666666666666,1.833333333333334,15.066666666666666,9.314285714285715,15.066666666666666,8.466666666666667,2.0,14.0
2007,1.8461538461538458,0.01183431952662663,1.8461538461538458,1.0769230769230766,1.8461538461538458,8.142011834319526,1.8461538461538458,4.692307692307692,1.0,13.0
2008,17.23076923076923,-1.017751479289941,17.23076923076923,1.9230769230769234,17.23076923076923,12.165680473372781,17.23076923076923,11.615384615384615,1.0,13.0
2009,7.884615384615385,-5.153846153846153,10.346153846153847,-4.807692307692307,9.153846153846153,7.815384615384616,10.346153846153847,6.076923076923077,4.0,10.0
2010,0.733333333333333,0.13846153846153797,0.9333333333333331,2.3999999999999986,6.555555555555556,9.943589743589742,8.733333333333334,10.733333333333333,3.0,13.0
2011,5.0,-0.9,5.0,0.5,5.0,10.7,5.0,10.0,1.0,10.0
2012,-5.090909090909092,0.4628099173553718,-5.090909090909092,-2.1818181818181834,5.090909090909092,6.859504132231405,5.090909090909092,7.636363636363637,1.0,11.0
2013,1.125,0.5769230769230769,0.5,1.75,3.0,9.153846153846153,2.375,5.5,4.0,13.0
2014,6.09090909090909,0.5371900826446279,6.09090909090909,0.3636363636363633,6.09090909090909,10.933884297520661,6.09090909090909,8.181818181818183,1.0,11.0
2015,19.23076923076923,0.7514792899408286,19.23076923076923,-2.9230769230769234,19.23076923076923,12.136094674556213,19.23076923076923,9.615384615384617,1.0,13.0
2016,11.5625,-2.013392857142857,16.4375,-0.6875,11.5625,10.245535714285714,16.4375,7.6875,3.0,14.0
2017,1.4473684210526319,-3.834586466165414,0.8421052631578949,-5.68421052631579,2.0789473684210527,10.56390977443609,1.4210526315789471,9.157894736842104,6.0,14.0
2018,-1.0,-0.07142857142857142,-1.0,-1.0,1.0,9.785714285714286,1.0,9.0,2.0,14.0
2019,-2.6875,0.5192307692307693,-1.5625,0.0,10.0,7.5,8.25,7.0,4.0,13.0
2020,,-2.3823529411764706,,-5.4375,,7.661764705882353,,6.9375,,17.0
2021,,0.3124999999999999,,-0.10000000000000142,,7.1875,,7.033333333333333,,16.0
2022,5.541666666666666,0.49242424242424254,5.541666666666666,-0.5,5.541666666666666,5.568181818181818,5.541666666666666,4.166666666666668,2.0,11.0
2023,4.875,-0.055555555555555164,9.916666666666666,0.16666666666666785,15.875,5.462962962962963,20.75,3.333333333333334,4.0,9.0
2024,7.083333333333333,-4.975,10.0,-10.541666666666668,8.138888888888888,13.308333333333334,10.0,13.583333333333332,3.0,10.0
