season,team,player,position,total_snaps,snap_share,rank_improvement,grp,player_contrib_rank
2012,ARI,Adam Snyder,G,866,0.036926488146000344,-1.0,zero,-0.036926488146000344
2012,ARI,Adrian Wilson,SS,846,0.03607368241514583,-1.0,zero,-0.03607368241514583
2012,ARI,Alfonso Smith,RB,17,0.0007248848712263346,-1.0,zero,-0.0007248848712263346
2012,ARI,Andre Roberts,WR,838,0.03573256012280403,-1.0,zero,-0.03573256012280403
2012,ARI,Anthony Sherman,FB,234,0.009977827050997782,-1.0,zero,-0.009977827050997782
2012,ARI,Beanie Wells,RB,150,0.0063960429814088355,-1.0,zero,-0.0063960429814088355
2012,ARI,Bobby Massie,T,1052,0.0448575814429473,-1.0,zero,-0.0448575814429473
2012,ARI,Brian Hoyer,QB,81,0.003453863209960771,-1.0,zero,-0.003453863209960771
2012,ARI,Calais Campbell,DE,753,0.032108135766672354,-1.0,zero,-0.032108135766672354
2012,ARI,Crezdon Butler,CB,0,0.0,-1.0,zero,-0.0
2012,ARI,D'Anthony Batiste,T,626,0.026692819375746205,-1.0,zero,-0.026692819375746205
2012,ARI,Dan Williams,NT,420,0.017908920347944737,-1.0,zero,-0.017908920347944737
2012,ARI,Darnell Dockett,DT,793,0.033813747228381374,-1.0,zero,-0.033813747228381374
2012,ARI,Daryl Washington,LB,1058,0.04511342316220365,-1.0,zero,-0.04511342316220365
2012,ARI,Daryn Colledge,G,1052,0.0448575814429473,-1.0,zero,-0.0448575814429473
2012,ARI,Dave Zastudil,P,0,0.0,-1.0,zero,-0.0
2012,ARI,David Carter,NT,289,0.012323042810847689,-1.0,zero,-0.012323042810847689
2012,ARI,Early Doucet,WR,387,0.016501790892034796,-1.0,zero,-0.016501790892034796
2012,ARI,Greg Toler,CB,302,0.012877366535903122,-1.0,zero,-0.012877366535903122
2012,ARI,Jamaal Westerman,LB,2,8.528057308545113e-05,-1.0,zero,-8.528057308545113e-05
2012,ARI,Jamell Fleming,CB,270,0.011512877366535904,-1.0,zero,-0.011512877366535904
2012,ARI,James Sanders,FS,120,0.005116834385127068,-1.0,zero,-0.005116834385127068
2012,ARI,Jay Feely,K,0,0.0,-1.0,zero,-0.0
2012,ARI,Jeff King,TE,466,0.019870373528910114,-1.0,zero,-0.019870373528910114
2012,ARI,Jim Dray,TE,34,0.0014497697424526693,-1.0,zero,-0.0014497697424526693
2012,ARI,John Skelton,QB,315,0.013431690260958553,-1.0,zero,-0.013431690260958553
2012,ARI,Justin Bethel,FS,10,0.00042640286542725567,-1.0,zero,-0.00042640286542725567
2012,ARI,Kerry Rhodes,FS,1011,0.043109329694695546,-1.0,zero,-0.043109329694695546
