draft_year,team,pdx4_prev,rank_prev,pct_prev,n_teams,need_rank,db_picks_top3,db_capital_top3,total_capital_top3,cap_rank,BRG,grp
2001,NYG,0.76815564325331,6,0.8333333333333334,31,26,2,980.0,1046.0,1,25.0,double
2001,TB,1.2600285469920849,2,0.9666666666666668,31,30,2,230.0,1330.0,14,16.0,double
2001,IND,-0.2631978189310289,16,0.5,31,16,2,666.0,1286.0,5,11.0,double
2001,MIA,0.9118152281187446,4,0.9,31,28,1,700.0,1245.0,4,24.0,single
2001,BAL,1.4540355398688471,1,1.0,31,31,1,284.0,1016.0,11,20.0,single
2001,TEN,1.0288850893799844,3,0.9333333333333332,31,29,1,300.0,488.0,10,19.0,single
2001,BUF,0.384530840891053,11,0.6666666666666667,31,21,1,800.0,1560.0,2,19.0,single
2001,WAS,0.4453381628454232,10,0.7,31,22,1,450.0,1576.0,7,15.0,single
2001,DEN,-0.268513425552456,17,0.4666666666666667,31,15,1,740.0,1285.0,3,12.0,single
2001,DAL,0.3409516364261631,13,0.6,31,19,1,340.0,838.0,9,10.0,single
2001,GB,0.1989951287386586,14,0.5666666666666667,31,18,1,235.0,2025.0,13,5.0,single
2001,NE,-0.3864866065398152,20,0.3666666666666667,31,12,1,160.0,2180.0,15,-3.0,single
2001,SEA,-1.5049963681784633,31,0.0,31,1,1,500.0,2800.0,6,-5.0,single
2001,ARI,-0.9283366716964886,30,0.0333333333333333,31,2,1,360.0,3520.0,8,-6.0,single
2001,MIN,-0.7718950528090796,27,0.1333333333333333,31,5,1,245.0,1255.0,12,-7.0,single
2001,PHI,0.836530370123147,5,0.8666666666666667,31,27,0,0.0,1346.0,16,11.0,zero
2001,DET,0.6750210690990143,7,0.8,31,25,0,0.0,1592.0,16,9.0,zero
2001,NYJ,0.6066370336751964,8,0.7666666666666666,31,24,0,0.0,1605.0,16,8.0,zero
2001,PIT,0.5369119856001072,9,0.7333333333333334,31,23,0,0.0,1457.0,16,7.0,zero
2001,LV,0.3728565456233994,12,0.6333333333333333,31,20,0,0.0,0.0,16,4.0,zero
2001,LAC,0.1827070923589808,15,0.5333333333333333,31,17,0,0.0,0.0,16,1.0,zero
2001,KC,-0.3165865022692185,18,0.4333333333333333,31,14,0,0.0,500.0,16,-2.0,zero
2001,NO,-0.3691674311980585,19,0.4,31,13,0,0.0,1185.0,16,-3.0,zero
2001,CLE,-0.4228273583991518,21,0.3333333333333333,31,11,0,0.0,3045.0,16,-5.0,zero
2001,CAR,-0.4911979275516674,22,0.3,31,10,0,0.0,1930.0,16,-6.0,zero
2001,CHI,-0.5177594934582588,23,0.2666666666666667,31,9,0,0.0,2170.0,16,-7.0,zero
2001,CIN,-0.6370403582735054,24,0.2333333333333332,31,8,0,0.0,2600.0,16,-8.0,zero
2001,ATL,-0.6874414095033895,25,0.1999999999999999,31,7,0,0.0,3654.0,16,-9.0,zero
2001,JAX,-0.7620682081589142,26,0.1666666666666666,31,6,0,0.0,1845.0,16,-10.0,zero
2001,LA,-0.7932300158058516,28,0.0999999999999999,31,4,0,0.0,0.0,16,-12.0,zero
2001,SF,-0.8826552646687912,29,0.0666666666666666,31,3,0,0.0,2120.0,16,-13.0,zero
