season,team,latent_score,improvement,group
2001,BAL,0.8733190179304913,-0.027219296660369707,single
2002,BAL,0.8461017131177115,-0.02721730481277973,single
2003,BAL,0.8188864001525147,-0.02721531296519686,double
2004,BAL,0.7916730790349078,-0.02721332111760688,double
2005,BAL,0.7644617497648909,-0.027211329270016904,single
2006,BAL,0.7372524123424569,-0.027209337422434032,double
2007,BAL,0.7100450667676128,-0.027207345574844055,double
2008,BAL,0.6828397130403516,-0.027205353727261183,single
2009,BAL,0.6556363511606804,-0.027203361879671206,single
2010,BAL,0.6284349811285992,-0.02720137003208123,single
2011,BAL,0.6012356029441008,-0.027199378184498357,single
2012,BAL,0.5740382166071853,-0.027197386336915486,single
2013,BAL,0.546842822117867,-0.027195394489318403,double
2014,BAL,0.5196494194761314,-0.02719340264173553,single
2015,BAL,0.49245800868197875,-0.02719141079415266,single
2016,BAL,0.46526858973541607,-0.027189418946562682,single
2017,BAL,0.43808116263644337,-0.027187427098972705,double
2018,BAL,0.41089572738505353,-0.027185435251389833,single
2019,BAL,0.3837122839812537,-0.027183443403799856,single
2020,BAL,0.3565308324250438,-0.02718145155620988,single
2021,BAL,0.3293513727164168,-0.027179459708627007,double
2022,BAL,0.30217390485537976,-0.02717746786103703,single
2023,BAL,0.2749984288419256,-0.02717547601345416,single
2024,BAL,0.24782494467606142,-0.02717348416586418,single
2001,TB,0.7907356048866063,-0.061035124756188,single
2002,TB,0.7297206273753147,-0.06101497751129159,single
2003,TB,0.668725797108948,-0.06099483026636676,single
2004,TB,0.6077511140874776,-0.060974683021470355,double
2005,TB,0.5467965783109037,-0.06095453577657395,single
2006,TB,0.48586218977922613,-0.06093438853167754,single
2007,TB,0.4249479484924734,-0.06091424128675271,single
2008,TB,0.3640538544506171,-0.060894094041856306,double
2009,TB,0.3031799076536572,-0.0608739467969599,double
2010,TB,0.24232610810159372,-0.06085379955206349,single
2011,TB,0.18149245579445505,-0.060833652307138664,double
2012,TB,0.1206789507322128,-0.06081350506224226,double
2013,TB,0.05988559291486695,-0.06079335781734585,double
2014,TB,-0.0008876176575824957,-0.06077321057244944,single
2015,TB,-0.06164068098510711,-0.060753063327524615,single
2016,TB,-0.12237359706773532,-0.06073291608262821,double
2017,TB,-0.18308636590546712,-0.0607127688377318,double
2018,TB,-0.2437789874983025,-0.060692621592835394,double
2019,TB,-0.3044514618462131,-0.060672474347910565,single
2020,TB,-0.36510378894922724,-0.06065232710301416,single
2021,TB,-0.425735968807345,-0.06063217985811775,double
2022,TB,-0.48634800142056633,-0.060612032613221345,double
2023,TB,-0.5469398867888629,-0.060591885368296516,double
2024,TB,-0.607511624912263,-0.06057173812340011,double
2001,TEN,-0.10112083855018739,0.0037898856681692905,double
2002,TEN,-0.09733426682820578,0.003786571721981602,single
2003,TEN,-0.09355100905241187,0.0037832577757939134,double
