season,defteam,dropbacks,attempts,completions,sacks,scrambles,explosive_comps,interceptions,net_yards_sum,net_yards_per_db_allowed,explosive_pass_rate_allowed,completion_pct_allowed,int_rate_allowed
2000,ARI,497,497,296,25,0,42,10,3241,6.52112676056338,0.1418918918918918,0.5955734406438632,0.0201207243460764
2000,ATL,568,568,306,31,0,45,15,3808,6.704225352112676,0.1470588235294117,0.5387323943661971,0.0264084507042253
2000,BAL,760,760,372,49,0,35,33,3719,4.893421052631579,0.0940860215053763,0.4894736842105263,0.0434210526315789
2000,BUF,519,519,269,41,0,35,15,2832,5.456647398843931,0.1301115241635687,0.5183044315992292,0.0289017341040462
2000,CAR,593,593,352,27,0,41,17,3815,6.433389544688027,0.1164772727272727,0.5935919055649241,0.0286677908937605
2000,CHI,580,580,332,36,0,45,11,3535,6.094827586206897,0.1355421686746988,0.5724137931034483,0.0189655172413793
2000,CIN,579,579,318,26,0,44,9,3660,6.321243523316062,0.1383647798742138,0.5492227979274611,0.0155440414507772
2000,CLE,539,539,262,42,0,49,12,3260,6.0482374768089056,0.1870229007633587,0.4860853432282003,0.0222634508348794
2000,DAL,516,516,277,25,0,31,16,2932,5.682170542635659,0.111913357400722,0.5368217054263565,0.0310077519379844
2000,DEN,645,645,319,46,0,59,27,4107,6.367441860465116,0.1849529780564263,0.4945736434108527,0.041860465116279
2000,DET,586,586,311,28,0,32,25,3325,5.674061433447099,0.1028938906752411,0.5307167235494881,0.0426621160409556
2000,GB,616,616,307,38,0,46,21,3579,5.810064935064935,0.1498371335504886,0.4983766233766233,0.034090909090909
2000,IND,624,624,336,44,0,52,17,3719,5.959935897435898,0.1547619047619047,0.5384615384615384,0.0272435897435897
2000,JAX,515,515,257,40,0,50,12,3307,6.421359223300971,0.1945525291828793,0.4990291262135922,0.0233009708737864
2000,KC,568,568,341,45,0,40,14,3391,5.970070422535211,0.1173020527859237,0.6003521126760564,0.0246478873239436
2000,LA,641,641,339,53,0,63,20,4228,6.59594383775351,0.1858407079646017,0.5288611544461779,0.0312012480499219
2000,LAC,568,568,306,37,0,32,15,3335,5.871478873239437,0.1045751633986928,0.5387323943661971,0.0264084507042253
2000,LV,704,704,386,47,0,40,25,4075,5.7883522727272725,0.1036269430051813,0.5482954545454546,0.0355113636363636
2000,MIA,619,619,297,45,0,43,27,3207,5.180936995153473,0.1447811447811448,0.4798061389337641,0.0436187399030694
2000,MIN,729,729,428,34,0,50,12,4774,6.548696844993141,0.116822429906542,0.5871056241426612,0.0164609053497942
